Hashtags,total_count
srhvkxip,3499
ipl2018,835
srh,647
kxip,343
vivoipl,205
orangearmy,201
livepunjabiplaypunjabi,189
ipl,175
ipl11,113
kxipvsrh,85
lloydhappinessmeter,83
firas_jani,83
khushiyanonkaro,77

