screen_name,cnt
Navdeepsinghja1,48
ShanuKumarVerm2,32
madridistajaggu,28
SunRisers,28
The_Super_Sid,27
Mon1sh,26
PSL_Tigers,26
NDTVIndia_Live,26
iamwbis,25
ALL_CricScore,25
